Time (Hours),SSM,Toray,Carbon paper,Modified (10%Carbon black+SSM)
00:00:00,-0.13,-0.11,0.02,0.01
01:00:00,-0.06,-0.09,0.03,0.03
02:00:00,0,-0.09,0.04,0.04
03:00:00,0.06,-0.04,0.04,0.05
04:00:00,0.1,-0.05,0.05,0.06
05:00:00,0.15,-0.05,0.03,0.08
06:00:00,0.15,-0.03,0.03,0.08
07:00:00,0.2,-0.02,0.03,0.09
08:00:00,0.22,-0.01,0.03,0.09
09:00:00,0.25,0,0.03,0.09
10:00:00,0.26,0,0.03,0.1
11:00:00,0.27,0.01,0.04,0.1
12:00:00,0.29,0.01,0.04,0.1
13:00:00,0.29,0.01,0.04,0.1
14:00:00,0.3,0,0.04,0.11
15:00:00,0.27,0.01,0.04,0.11
16:00:00,0.28,0.01,0.04,0.11
17:00:00,0.29,0.01,0.05,0.11
18:00:00,0.29,0.01,0.05,0.11
19:00:00,0.31,-0.01,0.06,0.12
20:00:00,0.31,0,0.07,0.12
21:00:00,0.31,0,0.07,0.12
22:00:00,0.17,0.07,0.07,0.13
23:00:00,0.22,0.06,0.06,0.13
24:00:00,0.22,0.07,0.06,0.14
25:00:00,0.21,0.06,0.06,0.14
26:00:00,0.24,0.06,0.07,0.14
27:00:00,0.23,0.06,0.07,0.14
28:00:00,0.23,0.06,0.07,0.14
29:00:00,0.23,0.06,0.07,0.14
30:00:00,0.23,0.07,0.07,0.14
31:00:00,0.22,0.07,0.07,0.15
32:00:00,0.21,0.07,0.08,0.15
33:00:00,0.19,0.07,0.08,0.15
34:00:00,0.21,0.07,0.08,0.15
35:00:00,0.21,0.07,0.08,0.15
36:00:00,0.21,0.07,0.08,0.15
37:00:00,0.21,0.07,0.08,0.15
38:00:00,0.21,0.07,0.08,0.15
39:00:00,0.22,0.08,0.09,0.16
40:00:00,0.21,0.08,0.08,0.16
41:00:00,0.21,0.08,0.08,0.16
42:00:00,0.19,0.08,0.08,0.16
43:00:00,0.22,0.08,0.08,0.16
44:00:00,0.22,0.08,0.08,0.16
45:00:00,0.22,0.08,0.06,0.16
46:00:00,0.23,0.08,0.04,0.17
47:00:00,0.22,0.08,0.04,0.17
48:00:00,0.22,0.08,0.04,0.17
49:00:00,0.23,0.08,0.04,0.17
50:00:00,0.23,0.08,0.05,0.17
51:00:00,0.22,0.08,0.05,0.18
52:00:00,0.22,0.08,0.05,0.18
53:00:00,0.22,0.08,0.05,0.18
54:00:00,0.22,0.09,0.06,0.18
55:00:00,0.22,0.08,0.06,0.19
56:00:00,0.22,0.09,0.06,0.19
57:00:00,0.22,0.08,0.06,0.19
58:00:00,0.22,0.08,0.05,0.19
59:00:00,0.22,0.07,0.05,0.19
60:00:00,0.22,0.08,0.05,0.2
61:00:00,0.23,0.08,0.08,0.2
62:00:00,0.22,0.08,0.09,0.21
63:00:00,0.23,0.09,0.11,0.2
64:00:00,0.24,0.09,0.07,0.2
65:00:00,0.24,0.09,0.08,0.2
66:00:00,0.24,0.09,0.06,0.21
67:00:00,0.24,0.1,0.11,0.21
68:00:00,0.24,0.09,0.11,0.21
69:00:00,0.23,0.09,0.1,0.21
70:00:00,0.23,0.1,0.1,0.21
71:00:00,0.22,0.09,0.1,0.21
72:00:00,0.23,0.09,-0.06,0.21
73:00:00,0.23,0.1,-0.17,0.21
74:00:00,0.23,0.1,-0.19,0.22
75:00:00,0.23,0.1,-0.22,0.22
76:00:00,0.24,0.09,-0.22,0.22
77:00:00,0.23,0.09,-0.24,0.22
78:00:00,0.22,0.09,-0.25,0.22
79:00:00,0.22,0.1,-0.25,0.22
80:00:00,0.23,0.1,-0.25,0.22
81:00:00,0.23,0.1,-0.26,0.22
82:00:00,0.23,0.1,-0.26,0.22
83:00:00,0.23,0.11,-0.26,0.22
84:00:00,0.23,0.11,-0.26,0.23
85:00:00,0.23,0.11,-0.23,0.23
86:00:00,0.23,0.11,-0.25,0.23
87:00:00,0.24,0.11,-0.26,0.23
88:00:00,0.24,0.11,-0.26,0.22
89:00:00,0.24,0.11,-0.26,0.23
90:00:00,0.24,0.11,-0.26,0.23
91:00:00,0.24,0.11,-0.26,0.23
92:00:00,0.24,0.11,-0.26,0.23
93:00:00,0.23,0.11,-0.26,0.23
94:00:00,0.23,0.11,-0.26,0.24
95:00:00,0.23,0.11,-0.26,0.24
96:00:00,0.23,0.11,-0.26,0.24
