Time (Hours),SSM,Toray,Carbon paper,Modified (10%Carbon black+SSM)
00:00:00,-3.77,0.09,5.11,-143.05
01:00:00,33.71,27.62,12.17,-75.21
02:00:00,53.81,47.01,15.19,-41.72
03:00:00,67.19,64.73,21.52,0.66
04:00:00,77.04,82.91,28.78,26.57
05:00:00,85.92,99.29,34.74,47.33
06:00:00,96.08,116.17,40.46,63.31
07:00:00,105.41,129.68,46.02,78.28
08:00:00,112.31,138.02,50.19,90.58
09:00:00,119.59,147.64,55.58,93.95
10:00:00,126.84,156.9,62.84,95.18
11:00:00,131.37,162.99,69.72,100.57
12:00:00,133.07,171.94,76.03,105.86
13:00:00,135.93,178.85,82.58,108.97
14:00:00,143.51,184.51,89.8,113.32
15:00:00,148.07,187.87,95.59,117.55
16:00:00,153.23,190.93,102.45,119.65
17:00:00,167.74,194.62,108.67,124.65
18:00:00,173.73,198.01,116.55,128.23
19:00:00,178.31,199.79,123.47,130.71
20:00:00,180.06,201.33,125.79,135.71
21:00:00,184.11,201.25,126.72,140.41
22:00:00,185.56,205.45,131.36,143.78
23:00:00,190.32,210.44,137.24,144.66
24:00:00,183.46,209.98,140.4,148.51
25:00:00,187.42,210.12,142.45,151.88
26:00:00,194.3,213.65,146.57,152.6
27:00:00,197.13,215.8,148.88,172.8
28:00:00,200.77,215.42,152.21,169.65
29:00:00,206.22,211.95,154.76,159.18
30:00:00,209.43,212.11,157.34,150.82
31:00:00,212.81,213.78,159.21,151.31
32:00:00,217.39,216.7,162.27,154.87
33:00:00,223.37,216.51,164.29,161.38
34:00:00,226.32,218.27,165.73,159.98
35:00:00,226.21,220.19,165.69,162.82
36:00:00,229.33,220.64,168.37,171.49
37:00:00,230.24,221.11,170.35,171.17
38:00:00,234.03,223,172.16,173.61
39:00:00,237.82,225.36,173.72,175.01
40:00:00,245.45,224.89,173.51,176.01
41:00:00,250.59,225.07,173.82,175.91
42:00:00,250.9,225.25,173.01,171.99
43:00:00,253.53,226.29,172.32,172.48
44:00:00,256.14,225.85,171.66,172.16
45:00:00,259.06,227.53,170.37,170.98
46:00:00,260.34,227.96,170.81,171.53
47:00:00,260.35,229.44,171.12,172.62
48:00:00,261.71,230.92,173.17,174.68
49:00:00,260.39,232.3,168.79,172.64
50:00:00,259.32,232.93,166.1,176.61
51:00:00,257.94,234.22,172.04,181.28
52:00:00,256.07,235.86,169.1,182.22
53:00:00,257.11,237.6,175.85,182.17
54:00:00,259.3,240.15,150.12,181.34
55:00:00,259.4,242.35,166.92,185.24
56:00:00,259.16,243.93,174.81,181.43
57:00:00,260.65,245.64,138.48,183.91
58:00:00,260.64,246.95,144.78,182.68
59:00:00,259.95,247.32,141,186.26
60:00:00,262.09,249.48,127.59,187.48
61:00:00,259.43,248.66,136.15,186.82
62:00:00,268.69,256.5,144.54,188.89
63:00:00,275.01,268.2,143.25,198.26
64:00:00,270.15,265.22,137.38,194.67
65:00:00,249.2,253.08,132.88,191.92
66:00:00,256.76,257.66,124.78,182.59
67:00:00,259.84,253.42,126.34,182.06
68:00:00,257.35,254.28,126.56,183.31
69:00:00,255.04,258.6,121.76,183.05
70:00:00,255.36,262.54,119.2,189.29
71:00:00,251.1,269.96,116.23,197.28
72:00:00,248.43,275.26,113.14,203.27
73:00:00,247.94,280.52,113.33,205.01
74:00:00,249.05,285.81,112.76,207.63
75:00:00,247.31,289.27,112.25,212.03
76:00:00,246.66,293.55,111.9,214.05
77:00:00,247.59,299.34,115.9,215.19
78:00:00,248.07,308.47,119.65,216.6
79:00:00,250.8,317.11,124.05,223.05
80:00:00,251.14,325.9,127.33,224.66
81:00:00,251.73,332.39,127.02,225.12
82:00:00,253.02,339.84,132.15,224.18
83:00:00,253.82,344.8,134.32,225.78
84:00:00,253.61,347.85,133.43,227.33
85:00:00,253.06,352.13,136.29,229.87
86:00:00,260.09,358.41,143.84,231.01
