Time (Hours),Modified (10%Carbon black+SSM),SSM
00:00:00,-42.68,-32.72
01:00:00,-30.68,18.16
02:00:00,-23.77,55.18
03:00:00,33.16,73.87
04:00:00,40.15,47.33
05:00:00,39.28,64.27
06:00:00,50.87,51.4
07:00:00,59.55,60.51
08:00:00,63.87,80.82
09:00:00,50.43,82
10:00:00,58.72,71.07
11:00:00,62.83,81.17
12:00:00,62.23,82.82
13:00:00,63.41,81.97
14:00:00,61.72,77.2
15:00:00,61.22,76
16:00:00,61.64,68.4
17:00:00,63.26,73.61
18:00:00,60.9,72.78
19:00:00,58.94,71.73
20:00:00,60.69,68.44
21:00:00,59.9,65.37
22:00:00,58.27,61.71
23:00:00,60.89,53.35
24:00:00,61,54.49
25:00:00,60.55,53.07
26:00:00,63.32,46.43
27:00:00,62.93,47.63
28:00:00,66.76,47.69
29:00:00,67.28,48.22
30:00:00,67.06,49.51
31:00:00,68.45,48.97
32:00:00,68.61,48.45
33:00:00,67.51,45.91
34:00:00,71.64,43.89
35:00:00,70.4,46.77
36:00:00,71.52,45.78
37:00:00,72.7,45.7
38:00:00,73.62,46.36
39:00:00,74.66,46.35
40:00:00,74.91,46.95
41:00:00,76.24,48.08
42:00:00,75.96,48.87
43:00:00,75.14,49.8
44:00:00,78.27,49.34
45:00:00,78.59,51.13
46:00:00,84.9,50.76
47:00:00,82.56,52.95
48:00:00,83,47.43
49:00:00,85.11,53.75
50:00:00,87.13,54.65
51:00:00,88.24,55.05
52:00:00,89.19,56.65
53:00:00,90.71,56.04
54:00:00,90.88,56.53
55:00:00,91.81,57.46
56:00:00,91.87,57.88
57:00:00,92.56,59.32
58:00:00,93.92,59.95
59:00:00,91.65,59.28
60:00:00,96.21,60.17
61:00:00,95.6,60.75
62:00:00,96.05,60.59
63:00:00,97.44,61.54
64:00:00,94.5,61.15
65:00:00,97,60.87
66:00:00,95.08,62.27
67:00:00,82.34,65.29
68:00:00,96.92,66.16
69:00:00,90.71,66.44
70:00:00,92.91,68.35
71:00:00,94.23,68.16
72:00:00,97.21,69.05
73:00:00,101.28,71.53
74:00:00,100.84,74.78
75:00:00,103.43,78.26
76:00:00,100.41,79.55
77:00:00,105.91,81.88
78:00:00,107.56,81.38
79:00:00,108.09,85.33
80:00:00,112.99,84.73
81:00:00,113.82,85.24
82:00:00,115.07,85.51
83:00:00,119.48,86.29
84:00:00,120.24,87.02
85:00:00,121.9,88.76
86:00:00,125.46,89.22
87:00:00,129.41,90.67
88:00:00,130.26,91.12
89:00:00,132.51,92.85
90:00:00,140.24,90.51
91:00:00,133.64,94.54
92:00:00,139.72,95.51
93:00:00,140.22,96.12
94:00:00,145.38,97.79
95:00:00,146,99.76
96:00:00,146.63,101.72
97:00:00,148.46,102.41
98:00:00,145.05,102.7
99:00:00,140.48,102.97
100:00:00,142.97,103.33
101:00:00,144.75,102.95
102:00:00,145.78,102.81
103:00:00,146.92,102.38
104:00:00,148.17,102.44
105:00:00,149.23,102.65
106:00:00,150.39,102.6
107:00:00,151.17,102.84
108:00:00,151.05,102.55
109:00:00,151.5,101.22
110:00:00,152.1,100.57
111:00:00,153.03,100.21
112:00:00,153.47,100.65
113:00:00,157.24,97.77
114:00:00,158.4,97.34
115:00:00,156.7,98.61
116:00:00,157.28,99.09
117:00:00,155,98.97
118:00:00,155.03,98.46
119:00:00,152.5,97.33
120:00:00,149.4,96.42
121:00:00,147.09,96.09
